Date : 2023-11-15 19:57:08
Directory : c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src
Total : 248 files,  33103 codes, 416 comments, 2735 blanks, all 36254 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| CSS            |         31 |     19,756 |          7 |      2,242 |     22,005 |
| JavaScript JSX |        102 |     13,011 |        409 |        348 |     13,768 |
| JavaScript     |        115 |        336 |          0 |        145 |        481 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        248 |     33,103 |        416 |      2,735 |     36,254 |
| . (Files)                                                                                                                                            |          2 |         27 |         72 |          4 |        103 |
| components                                                                                                                                           |         60 |      2,255 |         60 |        344 |      2,659 |
| components\Alerts                                                                                                                                    |          4 |        167 |          4 |         30 |        201 |
| components\AtomsIcon                                                                                                                                 |          4 |         61 |          4 |         13 |         78 |
| components\AtomsIconWrapper                                                                                                                          |          4 |         31 |          4 |          9 |         44 |
| components\Bar                                                                                                                                       |          4 |         31 |          4 |         11 |         46 |
| components\Divider                                                                                                                                   |          4 |         52 |          4 |         13 |         69 |
| components\GlobalHeader                                                                                                                              |          4 |        405 |          4 |         50 |        459 |
| components\IconClose                                                                                                                                 |          4 |         22 |          4 |          8 |         34 |
| components\IconSearchWrapper                                                                                                                         |          4 |         22 |          4 |          8 |         34 |
| components\LinkWidget                                                                                                                                |          4 |        324 |          4 |         21 |        349 |
| components\LogoCanvaslogo                                                                                                                            |          4 |        110 |          4 |         18 |        132 |
| components\Scrollbar                                                                                                                                 |          4 |         53 |          4 |         13 |         70 |
| components\SearchInput                                                                                                                               |          4 |        246 |          4 |         37 |        287 |
| components\Tab                                                                                                                                       |          4 |        162 |          4 |         14 |        180 |
| components\TabItems                                                                                                                                  |          4 |        238 |          4 |         41 |        283 |
| components\TreeMenu                                                                                                                                  |          4 |        331 |          4 |         58 |        393 |
| icons                                                                                                                                                |        138 |      2,378 |        276 |        278 |      2,932 |
| icons\AtomsIcon2019Close2                                                                                                                            |          2 |         22 |          4 |          4 |         30 |
| icons\AtomsIcon2019Close4                                                                                                                            |          2 |         22 |          4 |          4 |         30 |
| icons\AtomsIcon2019Close578                                                                                                                          |          2 |         25 |          4 |          4 |         33 |
| icons\AtomsIcon2019Close579                                                                                                                          |          2 |         25 |          4 |          4 |         33 |
| icons\AtomsIcon2019Close62                                                                                                                           |          2 |         32 |          4 |          4 |         40 |
| icons\AtomsIcon2019Close68                                                                                                                           |          2 |         20 |          4 |          4 |         28 |
| icons\AtomsIcon2019Close702                                                                                                                          |          2 |         20 |          4 |          4 |         28 |
| icons\AtomsIcon2019Close71                                                                                                                           |          2 |         20 |          4 |          4 |         28 |
| icons\AtomsIcon2019Close94                                                                                                                           |          2 |         24 |          4 |          5 |         33 |
| icons\AtomsIcon2019Menu1                                                                                                                             |          2 |         18 |          4 |          4 |         26 |
| icons\Checkbox                                                                                                                                       |          2 |         27 |          4 |          5 |         36 |
| icons\Checkbox1                                                                                                                                      |          2 |         22 |          4 |          4 |         30 |
| icons\Click                                                                                                                                          |          2 |         92 |          4 |          4 |        100 |
| icons\Click2                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click3                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click4                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click5                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click6                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click7                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click8                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\Click9                                                                                                                                         |          2 |         92 |          4 |          4 |        100 |
| icons\CombinedShape                                                                                                                                  |          2 |         22 |          4 |          4 |         30 |
| icons\CombinedShape1                                                                                                                                 |          2 |         22 |          4 |          4 |         30 |
| icons\Icon3                                                                                                                                          |          2 |         16 |          4 |          4 |         24 |
| icons\IconCheckmarkAlt                                                                                                                               |          2 |         27 |          4 |          4 |         35 |
| icons\IconClose50                                                                                                                                    |          2 |         20 |          4 |          4 |         28 |
| icons\IconCtaCaretClose19                                                                                                                            |          2 |         20 |          4 |          4 |         28 |
| icons\IconCtaCaretClose27                                                                                                                            |          2 |         20 |          4 |          4 |         28 |
